name,gst_number,email,phone,address,_test_case
Bluepeak Consultants,11ZCQCO7894Z1ZN,vendor102@vendormail.test,9433734018,"532 Industrial Estate, Sikkim",
Redwood Engineering,,vendor103@vendormail.test,9632156157,"556 Market Road, Jharkhand",
Anchor Distributors,33MKOQD4940R1ZC,vendor104@vendormail.test,9377130207,"712 Industrial Estate, Tamil Nadu",
Horizon Office Supplies,18NKXHL8857W5ZG,vendor105@vendormail.test,9521867614,"237 Commercial Complex, Assam",
Redwood Logistics,02KCIXO8877M1ZH,vendor106@vendormail.test,9379331896,"367 Market Road, Himachal Pradesh",
Skyline Hosting,04CUGCL9913D5ZN,vendor107@vendormail.test,9854891556,"389 Industrial Estate, Chandigarh",
Everest Stationery,19DHXWW2247C9ZK,vendor108@vendormail.test,9529140922,"767 Market Road, West Bengal",
Sunrise Advertising,,vendor109@vendormail.test,9464841558,"727 Market Road, Sikkim",
Prime Electricals,18XEKZJ5185Y4Z5,vendor110@vendormail.test,9585414012,"92 Commercial Complex, Assam",
Emerald IT Services,10WRQIZ6802V7Z1,vendor111@vendormail.test,9130775818,"10 Industrial Estate, Bihar",
Sunrise Packaging,,vendor112@vendormail.test,9745290561,"979 Commercial Complex, Punjab",
Silverline Freight,,vendor113@vendormail.test,9633159020,"795 Industrial Estate, Uttarakhand",
CloudNet Security Services,,vendor114@vendormail.test,9958845073,"602 Commercial Complex, West Bengal",
Anchor Print Works,05RQSTT4402M9ZO,vendor115@vendormail.test,9674537025,"377 Market Road, Uttarakhand",
Emerald Textiles,,vendor116@vendormail.test,9448798700,"858 Market Road, Maharashtra",
Silverline Consultants,27FASOK6909B9ZH,vendor117@vendormail.test,9174768068,"194 Commercial Complex, Maharashtra",
Emerald Engineering,,vendor118@vendormail.test,9909190079,"793 Industrial Estate, Uttar Pradesh",
CloudNet Distributors,23QOETM8592B1Z0,vendor119@vendormail.test,9285457263,"830 Commercial Complex, Madhya Pradesh",
Anchor Office Supplies,33RISHE6822I5ZY,vendor120@vendormail.test,9559289592,"590 Commercial Complex, Tamil Nadu",
Skyline Logistics,03ZTMSZ8129E8ZV,vendor121@vendormail.test,9280985702,"513 Industrial Estate, Punjab",
Sunrise Hosting,36XXSBZ4353I5Z3,vendor122@vendormail.test,9722725479,"679 Commercial Complex, Telangana",
Ironclad Stationery,,vendor123@vendormail.test,9297702269,"240 Commercial Complex, Maharashtra",
Crestline Advertising,20SOVKX9427T8ZF,vendor124@vendormail.test,9837501242,"979 Market Road, Jharkhand",
Titan Electricals,03LMZCR5650U6Z2,vendor125@vendormail.test,9534903775,"975 Industrial Estate, Punjab",
Bluepeak IT Services,,vendor126@vendormail.test,9390537402,"895 Market Road, Himachal Pradesh",
Skyline Packaging,03SWESQ5017K6ZJ,vendor127@vendormail.test,9945223230,"909 Market Road, Punjab",
Metro Freight,,vendor128@vendormail.test,9281443023,"691 Market Road, Chhattisgarh",
Emerald Security Services,18WROOR1790E7ZU,vendor129@vendormail.test,9506257861,"281 Market Road, Assam",
Delta Print Works,,vendor130@vendormail.test,9202924922,"848 Industrial Estate, Chhattisgarh",
Reliable Textiles,05WSBNZ8679B9ZR,vendor131@vendormail.test,9178366314,"955 Market Road, Uttarakhand",
Anchor Consultants,36ODKBY5223I7ZF,vendor132@vendormail.test,9210671759,"597 Market Road, Telangana",
CloudNet Engineering,27LUETW9019G9Z8,vendor133@vendormail.test,9799580120,"784 Commercial Complex, Maharashtra",
Ironclad Distributors,22ZRZOV9119O1ZD,vendor134@vendormail.test,9603323120,"574 Market Road, Chhattisgarh",
Meridian Office Supplies,05IEYET1504R3ZK,vendor135@vendormail.test,9536131305,"495 Market Road, Uttarakhand",
Pioneer Logistics,20RKAOJ4330R4ZX,vendor136@vendormail.test,9593249310,"65 Commercial Complex, Jharkhand",
Skyline Hosting,32NZTAA8739A1Z2,vendor137@vendormail.test,9150082701,"831 Industrial Estate, Kerala",
Vertex Stationery,02NNTXS8121Y4ZK,vendor138@vendormail.test,9139282259,"511 Market Road, Himachal Pradesh",
BlueWave Advertising,23GNPRR9056X5Z8,vendor139@vendormail.test,9572723510,"886 Commercial Complex, Madhya Pradesh",
Anchor Electricals,,vendor140@vendormail.test,9540068626,"356 Industrial Estate, Karnataka",
Titan IT Services,10RGIID8715M6ZR,vendor141@vendormail.test,9196435175,"792 Market Road, Bihar",
Zenith Packaging,04LPMPA1661G5ZV,vendor142@vendormail.test,9921105612,"136 Industrial Estate, Chandigarh",
BlueWave Freight,06KZFFV7372V5ZW,vendor143@vendormail.test,9284501587,"976 Commercial Complex, Haryana",
Delta Security Services,01PSAZT5225Y1ZY,vendor144@vendormail.test,9343847080,"344 Industrial Estate, Jammu and Kashmir",
Horizon Print Works,05QHKMD6613W9ZM,vendor145@vendormail.test,9617745101,"779 Market Road, Uttarakhand",
Pioneer Textiles,01BUVWK7687T4ZM,vendor146@vendormail.test,9246032119,"505 Commercial Complex, Jammu and Kashmir",
CloudNet Consultants,09DNJKU9513H8ZI,vendor147@vendormail.test,9944522788,"853 Industrial Estate, Uttar Pradesh",
Vertex Engineering,,vendor148@vendormail.test,9461870954,"769 Market Road, Haryana",
Metro Distributors,08VSVTS1871A9ZT,vendor149@vendormail.test,9253088660,"671 Industrial Estate, Rajasthan",
Prime Office Supplies,,vendor150@vendormail.test,9319487821,"761 Commercial Complex, Himachal Pradesh",
Sunrise Logistics,07GTRQN9431G9ZR,vendor151@vendormail.test,9494207503,"409 Market Road, Delhi",
Redwood Hosting,,vendor152@vendormail.test,9486597918,"662 Commercial Complex, Uttarakhand",
Meridian Stationery,01HFCNS7089Y2Z4,vendor153@vendormail.test,9552009325,"586 Market Road, Jammu and Kashmir",
Greenfield Advertising,30QHVJH3360D6Z5,vendor154@vendormail.test,9814776831,"714 Market Road, Goa",
Emerald Electricals,29RLAFD8377G7Z7,vendor155@vendormail.test,9668352436,"372 Market Road, Karnataka",
Metro IT Services,05NOQOF8484T8Z7,vendor156@vendormail.test,9333745915,"694 Industrial Estate, Uttarakhand",
Everest Packaging,,vendor157@vendormail.test,9355574722,"169 Industrial Estate, Jammu and Kashmir",
Northstar Freight,37PRZUU1489E6ZA,vendor158@vendormail.test,9525333374,"447 Commercial Complex, Andhra Pradesh",
Meridian Security Services,,vendor159@vendormail.test,9662649417,"415 Market Road, Goa",
Crestline Print Works,,vendor160@vendormail.test,9793886707,"469 Industrial Estate, West Bengal",
Skyline Textiles,22CHORL3331R6ZF,vendor161@vendormail.test,9884597284,"1 Industrial Estate, Chhattisgarh",
Zenith Consultants,10DMECJ7560H8ZS,vendor162@vendormail.test,9321081537,"587 Market Road, Bihar",
Horizon Engineering,29GIPAO6699K5Z0,vendor163@vendormail.test,9489010069,"446 Market Road, Karnataka",
Silverline Distributors,03MNFBT2491A3Z3,vendor164@vendormail.test,9319068996,"390 Market Road, Punjab",
Greenfield Office Supplies,36ZJKUF4045F4ZS,vendor165@vendormail.test,9642231175,"463 Commercial Complex, Telangana",
Pioneer Logistics,03LKUPA1170J9Z7,vendor166@vendormail.test,9562558731,"406 Market Road, Punjab",
Bluepeak Hosting,21FWEIY8328Y9ZM,vendor167@vendormail.test,9813473052,"481 Market Road, Odisha",
Fusion Stationery,,vendor168@vendormail.test,9399996111,"94 Commercial Complex, Goa",
Horizon Advertising,,vendor169@vendormail.test,9820368347,"24 Market Road, Karnataka",
Metro Electricals,20HYSRQ2760A5ZW,vendor170@vendormail.test,9906624002,"503 Industrial Estate, Jharkhand",
Ironclad IT Services,20YVGMF4830R8Z9,vendor171@vendormail.test,9161159674,"763 Market Road, Jharkhand",
Reliable Packaging,27AILXC4135O9ZT,vendor172@vendormail.test,9894730104,"461 Commercial Complex, Maharashtra",
Everest Freight,37OGLGG1711T7Z6,vendor173@vendormail.test,9442428473,"634 Industrial Estate, Andhra Pradesh",
Zenith Security Services,06TBGNO7388I7ZK,vendor174@vendormail.test,9384775347,"953 Industrial Estate, Haryana",
Skyline Print Works,,vendor175@vendormail.test,9484750773,"258 Market Road, Rajasthan",
Greenfield Textiles,06ZECJA4852Q8ZE,vendor176@vendormail.test,9105485787,"534 Market Road, Haryana",
BlueWave Consultants,10KHLXP1960G8ZZ,vendor177@vendormail.test,9378697232,"452 Commercial Complex, Bihar",
Delta Engineering,27DTCCE6538B4ZZ,vendor178@vendormail.test,9850279813,"321 Commercial Complex, Maharashtra",
Orbit Distributors,,vendor179@vendormail.test,9639779084,"729 Market Road, Tamil Nadu",
Everest Office Supplies,,vendor180@vendormail.test,9147689668,"44 Commercial Complex, Goa",
Nimbus Logistics,29FFDOS7571A2ZO,vendor181@vendormail.test,9653648045,"322 Commercial Complex, Karnataka",
Bluepeak Hosting,01EIWFN2735A2ZL,vendor182@vendormail.test,9416005786,"831 Commercial Complex, Jammu and Kashmir",
Titan Stationery,24CJBTR2484T5ZH,vendor183@vendormail.test,9303681054,"936 Commercial Complex, Gujarat",
Silverline Advertising,,vendor184@vendormail.test,9138850168,"899 Commercial Complex, Assam",
Reliable Electricals,04RTPVO9720O2Z6,vendor185@vendormail.test,9565037034,"815 Market Road, Chandigarh",
Vertex IT Services,01NQPDW3669Y9ZX,vendor186@vendormail.test,9118546302,"503 Market Road, Jammu and Kashmir",
Nimbus Packaging,,vendor187@vendormail.test,9265032227,"986 Market Road, Punjab",
CloudNet Freight,05BFOED5344B1ZN,vendor188@vendormail.test,9613249108,"894 Market Road, Uttarakhand",
Everest Security Services,,vendor189@vendormail.test,9632604618,"372 Market Road, Chhattisgarh",
Orbit Print Works,05SGAKB3970N3ZC,vendor190@vendormail.test,9797574141,"236 Industrial Estate, Uttarakhand",
Greenfield Textiles,18YLMCC8071B2Z8,vendor191@vendormail.test,9187905943,"921 Industrial Estate, Assam",
Crestline Consultants,,vendor192@vendormail.test,9862845891,"661 Industrial Estate, Kerala",
Titan Engineering,,vendor193@vendormail.test,9337997028,"201 Industrial Estate, Karnataka",
Apex Distributors,27WNMSD8031Z3ZO,vendor194@vendormail.test,9223504047,"810 Commercial Complex, Maharashtra",
Falcon Office Supplies,,vendor195@vendormail.test,9562218803,"569 Market Road, Karnataka",
Ironclad Logistics,29ZVVWS2765S7Z9,vendor196@vendormail.test,9151971549,"991 Commercial Complex, Karnataka",
Fusion Hosting,06CDBFK9501D7ZR,vendor197@vendormail.test,9933195802,"106 Market Road, Haryana",
Meridian Stationery,01GTUVW2234W8ZG,vendor198@vendormail.test,9375580530,"40 Market Road, Jammu and Kashmir",
Falcon Advertising,20OGOJV1189S6Z6,vendor199@vendormail.test,9137292677,"424 Industrial Estate, Jharkhand",
Ironclad Electricals,,vendor200@vendormail.test,9465587918,"408 Commercial Complex, Uttar Pradesh",
Northstar IT Services,32QOVOB5225E5ZF,vendor201@vendormail.test,9427543978,"147 Market Road, Kerala",
Northstar Packaging,,vendor202@vendormail.test,9766039941,"368 Commercial Complex, Bihar",
Anchor Freight,,vendor203@vendormail.test,9575734839,"930 Commercial Complex, Goa",
Apex Security Services,07RQHKK2402T6ZM,vendor204@vendormail.test,9148206967,"99 Commercial Complex, Delhi",
Titan Print Works,,vendor205@vendormail.test,9249232874,"538 Market Road, Chhattisgarh",
Greenfield Textiles,10RJNPA7347E8ZY,vendor206@vendormail.test,9191055832,"124 Commercial Complex, Bihar",
Greenfield Consultants,36OLTIN5424Z7Z9,vendor207@vendormail.test,9738335244,"940 Market Road, Telangana",
Emerald Engineering,,vendor208@vendormail.test,9798433531,"48 Industrial Estate, Chhattisgarh",
Greenfield Distributors,06VTVHE6962P3ZN,vendor209@vendormail.test,9193133084,"735 Industrial Estate, Haryana",
Reliable Office Supplies,06YIITV1011Q6Z7,vendor210@vendormail.test,9999458190,"635 Commercial Complex, Haryana",
Northstar Logistics,03LCYBU1135U6ZO,vendor211@vendormail.test,9454826523,"204 Industrial Estate, Punjab",
Metro Hosting,,vendor212@vendormail.test,9392267264,"381 Commercial Complex, Madhya Pradesh",
Sunrise Stationery,29FRGDS3024A2ZJ,vendor213@vendormail.test,9721323101,"278 Commercial Complex, Karnataka",
Meridian Advertising,,vendor214@vendormail.test,9217040924,"812 Commercial Complex, Telangana",
Anchor Electricals,,vendor215@vendormail.test,9401761622,"883 Industrial Estate, Punjab",
Emerald IT Services,,vendor216@vendormail.test,9649749055,"228 Commercial Complex, Chhattisgarh",
Ironclad Packaging,,vendor217@vendormail.test,9831125753,"864 Market Road, Delhi",
Delta Freight,,vendor218@vendormail.test,9735376927,"781 Market Road, Chhattisgarh",
Golden Harvest Security Services,,vendor219@vendormail.test,9148460572,"775 Industrial Estate, Bihar",
Nimbus Print Works,,vendor220@vendormail.test,9670053486,"151 Industrial Estate, Jharkhand",
Everest Textiles,29YWXNN1253B7ZJ,vendor221@vendormail.test,9433646237,"167 Commercial Complex, Karnataka",
Fusion Consultants,,vendor222@vendormail.test,9929311906,"632 Commercial Complex, Madhya Pradesh",
Emerald Engineering,11JMZUW3088N4ZT,vendor223@vendormail.test,9639306845,"536 Market Road, Sikkim",
Golden Harvest Distributors,37ZVDIT3101U6ZM,vendor224@vendormail.test,9451044421,"120 Industrial Estate, Andhra Pradesh",
Meridian Office Supplies,23RTOIZ5124K6ZO,vendor225@vendormail.test,9694873293,"754 Market Road, Madhya Pradesh",
Apex Logistics,22EZLMJ7207W1Z8,vendor226@vendormail.test,9237980211,"554 Market Road, Chhattisgarh",
Vertex Hosting,33SNCRB8743K4ZE,vendor227@vendormail.test,9834454829,"863 Industrial Estate, Tamil Nadu",
Ironclad Stationery,,vendor228@vendormail.test,9486447984,"619 Industrial Estate, Gujarat",
Nimbus Advertising,37SKCRM5842W2ZQ,vendor229@vendormail.test,9948634273,"978 Commercial Complex, Andhra Pradesh",
CloudNet Electricals,04AKHHD7257J6Z3,vendor230@vendormail.test,9434887732,"278 Industrial Estate, Chandigarh",
Metro IT Services,29WCDWF4981I8ZK,vendor231@vendormail.test,9768104981,"443 Market Road, Karnataka",
Delta Packaging,01TTUHH9131L9ZW,vendor232@vendormail.test,9973728353,"565 Market Road, Jammu and Kashmir",
Horizon Freight,,vendor233@vendormail.test,9669816581,"537 Market Road, Telangana",
Everest Security Services,,vendor234@vendormail.test,9649471677,"414 Industrial Estate, Chhattisgarh",
Ironclad Print Works,,vendor235@vendormail.test,9224128440,"376 Market Road, Uttarakhand",
Pioneer Textiles,29GLZFD5726S1ZN,vendor236@vendormail.test,9330195549,"121 Industrial Estate, Karnataka",
Apex Consultants,29IOYLH4387V2ZT,vendor237@vendormail.test,9885802741,"965 Market Road, Karnataka",
Meridian Engineering,,vendor238@vendormail.test,9956369026,"406 Market Road, Delhi",
Delta Distributors,22SMAAK7735Y6ZZ,vendor239@vendormail.test,9113445088,"4 Market Road, Chhattisgarh",
Delta Office Supplies,33DWOEW3965Z9ZI,vendor240@vendormail.test,9229839271,"595 Industrial Estate, Tamil Nadu",
Titan Logistics,,vendor241@vendormail.test,9676797964,"169 Commercial Complex, Jharkhand",
Orbit Hosting,,vendor242@vendormail.test,9572837189,"137 Commercial Complex, Andhra Pradesh",
Prime Stationery,,vendor243@vendormail.test,9742845741,"211 Industrial Estate, Delhi",
Titan Advertising,10SJPVO1601M7ZZ,vendor244@vendormail.test,9134855314,"909 Commercial Complex, Bihar",
Orbit Electricals,08CFQGZ9536Z5Z9,vendor245@vendormail.test,9198325058,"116 Market Road, Rajasthan",
Crestline IT Services,20JEGDW4850O9ZF,vendor246@vendormail.test,9608781512,"776 Market Road, Jharkhand",
Sunrise Packaging,33SFJQN2362W7ZV,vendor247@vendormail.test,9722109051,"359 Commercial Complex, Tamil Nadu",
Bluepeak Freight,,vendor248@vendormail.test,9965962558,"641 Market Road, Gujarat",
Fusion Security Services,09EQMTX4417Y7ZM,vendor249@vendormail.test,9840181220,"404 Commercial Complex, Uttar Pradesh",
Pioneer Print Works,22KLMMO6912Z9Z1,vendor250@vendormail.test,9177204835,"214 Commercial Complex, Chhattisgarh",
Everest Textiles,29BIUZA9973U9ZT,vendor251@vendormail.test,9292367500,"443 Commercial Complex, Karnataka",
Titan Consultants,07PAVWC1451B2ZE,vendor252@vendormail.test,9188044197,"230 Market Road, Delhi",
Nimbus Engineering,23ZIEFZ9182T3ZE,vendor253@vendormail.test,9380835568,"600 Market Road, Madhya Pradesh",
Sunrise Distributors,36NKUJV5097O1ZT,vendor254@vendormail.test,9775212408,"820 Market Road, Telangana",
Northstar Office Supplies,03IXFRA8441T7Z3,vendor255@vendormail.test,9815441398,"237 Commercial Complex, Punjab",
Delta Logistics,02PKBEF3968N5ZO,vendor256@vendormail.test,9824374964,"178 Industrial Estate, Himachal Pradesh",
Fusion Hosting,19OLEGJ8683D6ZX,vendor257@vendormail.test,9832317814,"455 Market Road, West Bengal",
Metro Stationery,22MDRIQ8643V8ZN,vendor258@vendormail.test,9771464871,"828 Industrial Estate, Chhattisgarh",
Bluepeak Advertising,,vendor259@vendormail.test,9104941743,"837 Market Road, Jharkhand",
Horizon Electricals,20NRWRK2029B9ZV,vendor260@vendormail.test,9823219092,"620 Commercial Complex, Jharkhand",
Metro IT Services,,vendor261@vendormail.test,9506413674,"992 Commercial Complex, Madhya Pradesh",
