company_name,category_name,month,amount
Sunrise Pvt Ltd,Utilities,2023-11,66531.6
Sunrise Pvt Ltd,Utilities,2023-12,52001.37
Sunrise Pvt Ltd,Utilities,2024-01,64545.52
Sunrise Pvt Ltd,Utilities,2024-02,63474.16
Sunrise Pvt Ltd,Utilities,2024-03,56722.54
Sunrise Pvt Ltd,Utilities,2024-04,53579.15
Sunrise Pvt Ltd,Utilities,2024-05,63121.49
Sunrise Pvt Ltd,Utilities,2024-06,60098.05
Sunrise Pvt Ltd,Utilities,2024-07,62046.73
Sunrise Pvt Ltd,Utilities,2024-08,58469.24
Sunrise Pvt Ltd,Utilities,2024-09,49764.33
Sunrise Pvt Ltd,Utilities,2024-10,63912.38
Sunrise Pvt Ltd,Utilities,2024-11,51452.39
Sunrise Pvt Ltd,Utilities,2024-12,62492.61
Sunrise Pvt Ltd,Utilities,2025-01,59443.07
Sunrise Pvt Ltd,Utilities,2025-02,66666.9
Sunrise Pvt Ltd,Utilities,2025-03,57249.08
Sunrise Pvt Ltd,Utilities,2025-04,57129.65
Sunrise Pvt Ltd,Utilities,2025-05,62387.36
Sunrise Pvt Ltd,Utilities,2025-06,58735.36
Sunrise Pvt Ltd,Utilities,2025-07,65301.86
Sunrise Pvt Ltd,Utilities,2025-08,52688.3
Sunrise Pvt Ltd,Utilities,2025-09,61295.38
Sunrise Pvt Ltd,Utilities,2025-10,52422.26
Sunrise Pvt Ltd,Utilities,2025-11,60939.0
Sunrise Pvt Ltd,Utilities,2025-12,58276.61
Sunrise Pvt Ltd,Utilities,2026-01,54530.33
Sunrise Pvt Ltd,Utilities,2026-02,57068.7
Sunrise Pvt Ltd,Utilities,2026-03,57778.19
Sunrise Pvt Ltd,Utilities,2026-04,50648.45
Sunrise Pvt Ltd,Utilities,2026-05,57763.68
Sunrise Pvt Ltd,Utilities,2026-06,63972.17
Sunrise Pvt Ltd,Utilities,2026-07,63095.88
Sunrise Pvt Ltd,Salaries,2022-01,438198.84
Sunrise Pvt Ltd,Salaries,2022-02,374198.49
Sunrise Pvt Ltd,Salaries,2022-03,384198.76
Sunrise Pvt Ltd,Salaries,2022-04,383586.23
Sunrise Pvt Ltd,Salaries,2022-05,442223.16
Sunrise Pvt Ltd,Salaries,2022-06,379536.33
Sunrise Pvt Ltd,Salaries,2022-07,423101.69
Sunrise Pvt Ltd,Salaries,2022-08,394571.54
Sunrise Pvt Ltd,Salaries,2022-09,380901.76
Sunrise Pvt Ltd,Salaries,2022-10,380284.89
Sunrise Pvt Ltd,Salaries,2022-11,444405.52
Sunrise Pvt Ltd,Salaries,2022-12,419922.76
Sunrise Pvt Ltd,Salaries,2023-01,446691.89
Sunrise Pvt Ltd,Salaries,2023-02,405246.92
Sunrise Pvt Ltd,Salaries,2023-03,352741.95
Sunrise Pvt Ltd,Salaries,2023-04,396082.27
Sunrise Pvt Ltd,Salaries,2023-05,433468.62
Sunrise Pvt Ltd,Salaries,2023-06,348259.55
Sunrise Pvt Ltd,Salaries,2023-07,389553.87
Sunrise Pvt Ltd,Salaries,2023-08,409217.55
Sunrise Pvt Ltd,Salaries,2023-09,389797.92
Sunrise Pvt Ltd,Salaries,2023-10,425932.41
Sunrise Pvt Ltd,Salaries,2023-11,452007.96
Sunrise Pvt Ltd,Salaries,2023-12,431788.39
Sunrise Pvt Ltd,Salaries,2024-01,341120.78
Sunrise Pvt Ltd,Salaries,2024-02,445698.53
Sunrise Pvt Ltd,Salaries,2024-03,341920.82
Sunrise Pvt Ltd,Salaries,2024-04,355461.83
Sunrise Pvt Ltd,Salaries,2024-05,370749.49
Sunrise Pvt Ltd,Salaries,2024-06,336956.39
Sunrise Pvt Ltd,Salaries,2024-07,396044.97
Sunrise Pvt Ltd,Salaries,2024-08,391066.07
Sunrise Pvt Ltd,Salaries,2024-09,407357.84
Sunrise Pvt Ltd,Salaries,2024-10,443991.81
Sunrise Pvt Ltd,Salaries,2024-11,395233.45
Sunrise Pvt Ltd,Salaries,2024-12,359764.57
Sunrise Pvt Ltd,Salaries,2025-01,368424.05
Sunrise Pvt Ltd,Salaries,2025-02,445478.23
Sunrise Pvt Ltd,Salaries,2025-03,364573.9
Sunrise Pvt Ltd,Salaries,2025-04,450714.43
Sunrise Pvt Ltd,Salaries,2025-05,423488.99
Sunrise Pvt Ltd,Salaries,2025-06,387365.87
Sunrise Pvt Ltd,Salaries,2025-07,391794.69
Sunrise Pvt Ltd,Salaries,2025-08,447137.41
Sunrise Pvt Ltd,Salaries,2025-09,428214.79
Sunrise Pvt Ltd,Salaries,2025-10,379515.38
Sunrise Pvt Ltd,Salaries,2025-11,435866.18
Sunrise Pvt Ltd,Salaries,2025-12,407863.61
Sunrise Pvt Ltd,Salaries,2026-01,423063.7
Sunrise Pvt Ltd,Salaries,2026-02,353666.9
Sunrise Pvt Ltd,Salaries,2026-03,441897.55
Sunrise Pvt Ltd,Salaries,2026-04,355681.16
Sunrise Pvt Ltd,Salaries,2026-05,370070.29
Sunrise Pvt Ltd,Salaries,2026-06,424308.68
Sunrise Pvt Ltd,Salaries,2026-07,369056.95
Sunrise Pvt Ltd,Travel,2022-01,156432.26
Sunrise Pvt Ltd,Travel,2022-02,178876.52
Sunrise Pvt Ltd,Travel,2022-03,185143.45
Sunrise Pvt Ltd,Travel,2022-04,169167.95
Sunrise Pvt Ltd,Travel,2022-05,168208.41
Sunrise Pvt Ltd,Travel,2022-06,151391.39
Sunrise Pvt Ltd,Travel,2022-07,189976.68
Sunrise Pvt Ltd,Travel,2022-08,164853.67
Sunrise Pvt Ltd,Travel,2022-09,180567.88
Sunrise Pvt Ltd,Travel,2022-10,152689.75
Sunrise Pvt Ltd,Travel,2022-11,156110.77
Sunrise Pvt Ltd,Travel,2022-12,198650.0
Sunrise Pvt Ltd,Travel,2023-01,196770.73
Sunrise Pvt Ltd,Travel,2023-02,193016.17
Sunrise Pvt Ltd,Travel,2023-03,173493.13
Sunrise Pvt Ltd,Travel,2023-04,168584.76
Sunrise Pvt Ltd,Travel,2023-05,160777.91
Sunrise Pvt Ltd,Travel,2023-06,160132.89
Sunrise Pvt Ltd,Travel,2023-07,166949.22
Sunrise Pvt Ltd,Travel,2023-08,182884.87
Sunrise Pvt Ltd,Travel,2023-09,173931.22
Sunrise Pvt Ltd,Travel,2023-10,182538.84
Sunrise Pvt Ltd,Travel,2023-11,159366.59
Sunrise Pvt Ltd,Travel,2023-12,179166.2
Sunrise Pvt Ltd,Travel,2024-01,155240.92
Sunrise Pvt Ltd,Travel,2024-02,174763.23
Sunrise Pvt Ltd,Travel,2024-03,159167.76
Sunrise Pvt Ltd,Travel,2024-04,165539.21
Sunrise Pvt Ltd,Travel,2024-05,155658.65
Sunrise Pvt Ltd,Travel,2024-06,190654.41
Sunrise Pvt Ltd,Travel,2024-07,167232.52
Sunrise Pvt Ltd,Travel,2024-08,160402.87
Sunrise Pvt Ltd,Travel,2024-09,179824.29
Sunrise Pvt Ltd,Travel,2024-10,160424.64
Sunrise Pvt Ltd,Travel,2024-11,196130.64
Sunrise Pvt Ltd,Travel,2024-12,175837.42
Sunrise Pvt Ltd,Travel,2025-01,190199.23
Sunrise Pvt Ltd,Travel,2025-02,188533.85
Sunrise Pvt Ltd,Travel,2025-03,156829.2
Sunrise Pvt Ltd,Travel,2025-04,149247.62
Sunrise Pvt Ltd,Travel,2025-05,180235.74
Sunrise Pvt Ltd,Travel,2025-06,196305.36
Sunrise Pvt Ltd,Travel,2025-07,160236.94
Sunrise Pvt Ltd,Travel,2025-08,151256.6
Sunrise Pvt Ltd,Travel,2025-09,185466.76
Sunrise Pvt Ltd,Travel,2025-10,157984.32
Sunrise Pvt Ltd,Travel,2025-11,164392.04
Sunrise Pvt Ltd,Travel,2025-12,188779.55
Sunrise Pvt Ltd,Travel,2026-01,196924.24
Sunrise Pvt Ltd,Travel,2026-02,194493.07
Sunrise Pvt Ltd,Travel,2026-03,179470.26
Sunrise Pvt Ltd,Travel,2026-04,193337.56
Sunrise Pvt Ltd,Travel,2026-05,166060.93
Sunrise Pvt Ltd,Travel,2026-06,185455.83
Sunrise Pvt Ltd,Travel,2026-07,149848.78
Sunrise Pvt Ltd,Marketing,2022-01,181686.91
Sunrise Pvt Ltd,Marketing,2022-02,177507.31
Sunrise Pvt Ltd,Marketing,2022-03,152878.08
Sunrise Pvt Ltd,Marketing,2022-04,204616.74
Sunrise Pvt Ltd,Marketing,2022-05,159051.94
Sunrise Pvt Ltd,Marketing,2022-06,172936.95
Sunrise Pvt Ltd,Marketing,2022-07,168285.21
Sunrise Pvt Ltd,Marketing,2022-08,195954.88
Sunrise Pvt Ltd,Marketing,2022-09,181698.79
Sunrise Pvt Ltd,Marketing,2022-10,171380.62
Sunrise Pvt Ltd,Marketing,2022-11,204417.1
Sunrise Pvt Ltd,Marketing,2022-12,200725.04
Sunrise Pvt Ltd,Marketing,2023-01,159139.07
Sunrise Pvt Ltd,Marketing,2023-02,165608.29
Sunrise Pvt Ltd,Marketing,2023-03,201653.67
Sunrise Pvt Ltd,Marketing,2023-04,188033.88
Sunrise Pvt Ltd,Marketing,2023-05,167656.69
Sunrise Pvt Ltd,Marketing,2023-06,159734.41
Sunrise Pvt Ltd,Marketing,2023-07,183899.2
Sunrise Pvt Ltd,Marketing,2023-08,200223.25
Sunrise Pvt Ltd,Marketing,2023-09,166792.13
Sunrise Pvt Ltd,Marketing,2023-10,204489.65
Sunrise Pvt Ltd,Marketing,2023-11,163018.94
Sunrise Pvt Ltd,Marketing,2023-12,183211.68
Sunrise Pvt Ltd,Marketing,2024-01,155026.66
Sunrise Pvt Ltd,Marketing,2024-02,201806.8
Sunrise Pvt Ltd,Marketing,2024-03,180978.34
Sunrise Pvt Ltd,Marketing,2024-04,202939.46
Sunrise Pvt Ltd,Marketing,2024-05,172958.24
Sunrise Pvt Ltd,Marketing,2024-06,171827.91
Sunrise Pvt Ltd,Marketing,2024-07,167862.65
Sunrise Pvt Ltd,Marketing,2024-08,198388.05
Sunrise Pvt Ltd,Marketing,2024-09,199650.81
Sunrise Pvt Ltd,Marketing,2024-10,167705.38
Sunrise Pvt Ltd,Marketing,2024-11,188617.05
Sunrise Pvt Ltd,Marketing,2024-12,187438.83
Sunrise Pvt Ltd,Marketing,2025-01,172728.25
Sunrise Pvt Ltd,Marketing,2025-02,160576.88
Sunrise Pvt Ltd,Marketing,2025-03,193066.67
Sunrise Pvt Ltd,Marketing,2025-04,183354.56
Sunrise Pvt Ltd,Marketing,2025-05,203026.39
Sunrise Pvt Ltd,Marketing,2025-06,189379.73
Sunrise Pvt Ltd,Marketing,2025-07,163318.89
Sunrise Pvt Ltd,Marketing,2025-08,174363.65
Sunrise Pvt Ltd,Marketing,2025-09,194839.04
Sunrise Pvt Ltd,Marketing,2025-10,156045.38
Sunrise Pvt Ltd,Marketing,2025-11,159407.91
Sunrise Pvt Ltd,Marketing,2025-12,165287.48
Sunrise Pvt Ltd,Marketing,2026-01,157401.01
Sunrise Pvt Ltd,Marketing,2026-02,202026.52
Sunrise Pvt Ltd,Marketing,2026-03,181559.04
Sunrise Pvt Ltd,Marketing,2026-04,152691.12
Sunrise Pvt Ltd,Marketing,2026-05,167304.93
Sunrise Pvt Ltd,Marketing,2026-06,205287.26
Sunrise Pvt Ltd,Marketing,2026-07,205551.17
Sunrise Pvt Ltd,Professional Fees,2022-01,49172.56
Sunrise Pvt Ltd,Professional Fees,2022-02,46227.1
Sunrise Pvt Ltd,Professional Fees,2022-03,37953.16
Sunrise Pvt Ltd,Professional Fees,2022-04,42367.92
Sunrise Pvt Ltd,Professional Fees,2022-05,40005.35
Sunrise Pvt Ltd,Professional Fees,2022-06,42619.54
Sunrise Pvt Ltd,Professional Fees,2022-07,48775.54
Sunrise Pvt Ltd,Professional Fees,2022-08,49839.37
Sunrise Pvt Ltd,Professional Fees,2022-09,47773.06
Sunrise Pvt Ltd,Professional Fees,2022-10,42449.24
Sunrise Pvt Ltd,Professional Fees,2022-11,42342.43
Sunrise Pvt Ltd,Professional Fees,2022-12,46707.26
Sunrise Pvt Ltd,Professional Fees,2023-01,39096.75
Sunrise Pvt Ltd,Professional Fees,2023-02,43029.02
Sunrise Pvt Ltd,Professional Fees,2023-03,37702.57
Sunrise Pvt Ltd,Professional Fees,2023-04,45269.63
Sunrise Pvt Ltd,Professional Fees,2023-05,37788.73
Sunrise Pvt Ltd,Professional Fees,2023-06,38045.32
Sunrise Pvt Ltd,Professional Fees,2023-07,40684.81
Sunrise Pvt Ltd,Professional Fees,2023-08,46616.16
Sunrise Pvt Ltd,Professional Fees,2023-09,47683.4
Sunrise Pvt Ltd,Professional Fees,2023-10,45468.16
Sunrise Pvt Ltd,Professional Fees,2023-11,47289.05
Sunrise Pvt Ltd,Professional Fees,2023-12,43891.83
Sunrise Pvt Ltd,Professional Fees,2024-01,46229.43
Sunrise Pvt Ltd,Professional Fees,2024-02,40663.5
Sunrise Pvt Ltd,Professional Fees,2024-03,42873.5
Sunrise Pvt Ltd,Professional Fees,2024-04,46887.46
Sunrise Pvt Ltd,Professional Fees,2024-05,43829.92
Sunrise Pvt Ltd,Professional Fees,2024-06,39876.08
Sunrise Pvt Ltd,Professional Fees,2024-07,38237.67
Sunrise Pvt Ltd,Professional Fees,2024-08,48769.39
Sunrise Pvt Ltd,Professional Fees,2024-09,41476.59
Sunrise Pvt Ltd,Professional Fees,2024-10,47435.09
Sunrise Pvt Ltd,Professional Fees,2024-11,39669.46
Sunrise Pvt Ltd,Professional Fees,2024-12,41917.14
Sunrise Pvt Ltd,Professional Fees,2025-01,42687.75
Sunrise Pvt Ltd,Professional Fees,2025-02,44247.05
Sunrise Pvt Ltd,Professional Fees,2025-03,43349.74
Sunrise Pvt Ltd,Professional Fees,2025-04,47647.76
Sunrise Pvt Ltd,Professional Fees,2025-05,41029.9
Sunrise Pvt Ltd,Professional Fees,2025-06,45968.37
Sunrise Pvt Ltd,Professional Fees,2025-07,41795.28
Sunrise Pvt Ltd,Professional Fees,2025-08,48674.5
Sunrise Pvt Ltd,Professional Fees,2025-09,46396.48
Sunrise Pvt Ltd,Professional Fees,2025-10,41285.44
Sunrise Pvt Ltd,Professional Fees,2025-11,46938.36
Sunrise Pvt Ltd,Professional Fees,2025-12,47667.88
Sunrise Pvt Ltd,Professional Fees,2026-01,39806.33
Sunrise Pvt Ltd,Professional Fees,2026-02,49489.86
Sunrise Pvt Ltd,Professional Fees,2026-03,45231.67
Sunrise Pvt Ltd,Professional Fees,2026-04,40810.66
Sunrise Pvt Ltd,Professional Fees,2026-05,49788.61
Sunrise Pvt Ltd,Professional Fees,2026-06,37896.48
Sunrise Pvt Ltd,Professional Fees,2026-07,41131.54
Sunrise Pvt Ltd,Bank Charges,2022-01,317218.46
Sunrise Pvt Ltd,Bank Charges,2022-02,280925.08
Sunrise Pvt Ltd,Bank Charges,2022-03,289003.71
Sunrise Pvt Ltd,Bank Charges,2022-04,325110.1
Sunrise Pvt Ltd,Bank Charges,2022-05,310858.74
Sunrise Pvt Ltd,Bank Charges,2022-06,258104.91
Sunrise Pvt Ltd,Bank Charges,2022-07,265235.99
Sunrise Pvt Ltd,Bank Charges,2022-08,291963.76
Sunrise Pvt Ltd,Bank Charges,2022-09,334061.17
Sunrise Pvt Ltd,Bank Charges,2022-10,317605.82
Sunrise Pvt Ltd,Bank Charges,2022-11,318058.24
Sunrise Pvt Ltd,Bank Charges,2022-12,285238.43
Sunrise Pvt Ltd,Bank Charges,2023-01,268924.95
Sunrise Pvt Ltd,Bank Charges,2023-02,273572.81
Sunrise Pvt Ltd,Bank Charges,2023-03,300758.99
Sunrise Pvt Ltd,Bank Charges,2023-04,302948.13
Sunrise Pvt Ltd,Bank Charges,2023-05,309770.33
Sunrise Pvt Ltd,Bank Charges,2023-06,293083.91
Sunrise Pvt Ltd,Bank Charges,2023-07,337581.18
Sunrise Pvt Ltd,Bank Charges,2023-08,295817.2
Sunrise Pvt Ltd,Bank Charges,2023-09,290484.38
Sunrise Pvt Ltd,Bank Charges,2023-10,302332.96
Sunrise Pvt Ltd,Bank Charges,2023-11,305631.93
Sunrise Pvt Ltd,Bank Charges,2023-12,309190.97
Sunrise Pvt Ltd,Bank Charges,2024-01,293448.03
Sunrise Pvt Ltd,Bank Charges,2024-02,292423.54
Sunrise Pvt Ltd,Bank Charges,2024-03,305935.68
Sunrise Pvt Ltd,Bank Charges,2024-04,278710.39
Sunrise Pvt Ltd,Bank Charges,2024-05,265084.84
Sunrise Pvt Ltd,Bank Charges,2024-06,306175.58
Sunrise Pvt Ltd,Bank Charges,2024-07,302986.28
Sunrise Pvt Ltd,Bank Charges,2024-08,298424.37
Sunrise Pvt Ltd,Bank Charges,2024-09,322385.15
Sunrise Pvt Ltd,Bank Charges,2024-10,280282.57
Sunrise Pvt Ltd,Bank Charges,2024-11,277950.27
Sunrise Pvt Ltd,Bank Charges,2024-12,310137.65
Sunrise Pvt Ltd,Bank Charges,2025-01,327426.34
Sunrise Pvt Ltd,Bank Charges,2025-02,259301.64
Sunrise Pvt Ltd,Bank Charges,2025-03,252707.16
Sunrise Pvt Ltd,Bank Charges,2025-04,304347.62
Sunrise Pvt Ltd,Bank Charges,2025-05,329761.08
Sunrise Pvt Ltd,Bank Charges,2025-06,250993.77
Sunrise Pvt Ltd,Bank Charges,2025-07,284452.16
Sunrise Pvt Ltd,Bank Charges,2025-08,254604.77
Sunrise Pvt Ltd,Bank Charges,2025-09,266770.13
Sunrise Pvt Ltd,Bank Charges,2025-10,318554.41
Sunrise Pvt Ltd,Bank Charges,2025-11,256625.9
Sunrise Pvt Ltd,Bank Charges,2025-12,284216.14
Sunrise Pvt Ltd,Bank Charges,2026-01,314911.51
Sunrise Pvt Ltd,Bank Charges,2026-02,277735.75
Sunrise Pvt Ltd,Bank Charges,2026-03,331036.89
Sunrise Pvt Ltd,Bank Charges,2026-04,254407.27
Sunrise Pvt Ltd,Bank Charges,2026-05,288697.93
Sunrise Pvt Ltd,Bank Charges,2026-06,309329.9
Sunrise Pvt Ltd,Bank Charges,2026-07,271377.81
Sunrise Pvt Ltd,Other Expense,2022-01,254939.17
Sunrise Pvt Ltd,Other Expense,2022-02,263526.81
Sunrise Pvt Ltd,Other Expense,2022-03,247580.93
Sunrise Pvt Ltd,Other Expense,2022-04,212548.45
Sunrise Pvt Ltd,Other Expense,2022-05,227627.08
Sunrise Pvt Ltd,Other Expense,2022-06,234478.43
Sunrise Pvt Ltd,Other Expense,2022-07,229704.47
Sunrise Pvt Ltd,Other Expense,2022-08,262854.85
Sunrise Pvt Ltd,Other Expense,2022-09,219805.34
Sunrise Pvt Ltd,Other Expense,2022-10,255287.8
Sunrise Pvt Ltd,Other Expense,2022-11,227564.71
Sunrise Pvt Ltd,Other Expense,2022-12,208743.24
Sunrise Pvt Ltd,Other Expense,2023-01,236967.38
Sunrise Pvt Ltd,Other Expense,2023-02,279213.66
Sunrise Pvt Ltd,Other Expense,2023-03,268235.76
Sunrise Pvt Ltd,Other Expense,2023-04,233801.38
Sunrise Pvt Ltd,Other Expense,2023-05,217164.18
Sunrise Pvt Ltd,Other Expense,2023-06,247858.03
Sunrise Pvt Ltd,Other Expense,2023-07,278503.79
Sunrise Pvt Ltd,Other Expense,2023-08,235624.54
Sunrise Pvt Ltd,Other Expense,2023-09,227965.01
Sunrise Pvt Ltd,Other Expense,2023-10,230751.85
Sunrise Pvt Ltd,Other Expense,2023-11,231515.28
Sunrise Pvt Ltd,Other Expense,2023-12,215566.32
Sunrise Pvt Ltd,Other Expense,2024-01,249779.77
Sunrise Pvt Ltd,Other Expense,2024-02,271479.56
Sunrise Pvt Ltd,Other Expense,2024-03,212531.75
Sunrise Pvt Ltd,Other Expense,2024-04,222870.33
Sunrise Pvt Ltd,Other Expense,2024-05,255806.26
Sunrise Pvt Ltd,Other Expense,2024-06,228970.59
Sunrise Pvt Ltd,Other Expense,2024-07,213892.29
Sunrise Pvt Ltd,Other Expense,2024-08,270561.37
Sunrise Pvt Ltd,Other Expense,2024-09,226455.55
