row_number,status,duplicate_of,date,amount,type,category,description,vendor,customer,payment_method,reference_number,invoice_number,gst_amount,tds_amount,status,notes
108,imported,,2025-07-24,42409.41,expense,Professional Fees,Electricity bill payment,Fusion IT Services,,credit_card,REF2025269930,INV-2025-36174,10063.25,0.0,completed,
109,imported,,2021-09-19,114514.9,expense,Travel,Software subscription renewal,Horizon Freight,,upi,REF2021254506,INV-2021-67340,0.0,0.0,pending,
110,imported,,2023-05-06,35519.56,expense,Rent,Vendor invoice settlement,Apex Office Supplies,,credit_card,REF2023434165,INV-2023-22987,0.0,0.0,completed,
111,imported,,2025-11-28,7111.88,refund,Bank Charges,Vendor refund received,,Walk-in Customer,upi,REF2025570392,INV-2025-90654,0.0,0.0,completed,
112,imported,,2021-11-14,158591.94,salary,Salaries,Staff salary - payroll run,,,upi,REF2021349183,INV-2021-49472,0.0,0.0,completed,
113,imported,,2024-04-02,5422.39,tax,Bank Charges,TDS remittance to government,,,upi,REF2024405420,INV-2024-66261,0.0,0.0,completed,
114,imported,,2023-04-09,10338.36,expense,Other Expense,Software subscription renewal,Horizon Freight,,bank_transfer,REF2023681070,INV-2023-12665,0.0,0.0,completed,
115,duplicate_flagged,Same invoice number as an existing transaction,2023-03-08,124357.33,income,Sales,Export order payment,,,bank_transfer,REF2023908977,INV-2023-86271,11658.5,0.0,completed,
116,imported,,2025-08-07,1887774.25,loan,Office Supplies,Loan disbursement received,Apex Office Supplies,,debit_card,REF2025929538,INV-2025-36144,0.0,0.0,completed,
117,imported,,2022-09-01,828.75,other,Salaries,Sundry payment,,,credit_card,REF2022400009,INV-2022-56789,0.0,0.0,completed,
118,imported,,2025-06-01,66072.55,expense,Professional Fees,Repair and maintenance work,CloudNet Hosting,,bank_transfer,REF2025620306,INV-2025-75211,2580.96,1321.45,completed,
119,imported,,2022-11-27,156715.45,income,Other Income,Export order payment,,Walk-in Customer,cheque,REF2022274739,INV-2022-68183,0.0,0.0,pending,
120,imported,,2021-09-01,13456.56,other,Professional Fees,Miscellaneous transaction,,,credit_card,REF2021480959,INV-2021-77251,0.0,0.0,completed,
121,imported,,2021-12-15,10271.56,expense,Marketing,Vendor invoice settlement,Delta Security Services,,upi,REF2021133958,INV-2021-89310,2739.08,0.0,completed,
122,duplicate_flagged,Same invoice number as an existing transaction,2022-08-25,144085.9,expense,Office Supplies,Employee salary disbursement,,,bank_transfer,REF2022623285,INV-2022-77861,20262.08,0.0,completed,
123,imported,,2024-01-01,30186.72,expense,Utilities,Electricity bill payment,,,debit_card,REF2024574001,INV-2024-32630,4604.75,0.0,completed,
124,duplicate_flagged,Same invoice number as an existing transaction,2022-02-17,106829.0,expense,Utilities,Software subscription renewal,,,upi,REF2022633469,INV-2022-39391,28487.73,0.0,completed,
125,imported,,2024-05-04,19639.73,expense,Rent,Electricity bill payment,Fusion IT Services,,net_banking,REF2024851759,INV-2024-72739,0.0,0.0,completed,
126,imported,,2023-11-11,102080.33,expense,Marketing,Repair and maintenance work,Horizon Freight,,upi,REF2023770872,INV-2023-87042,4860.97,0.0,pending,
127,imported,,2025-03-23,116607.79,income,Interest Income,Service contract payment,,Corporate Client,wallet,REF2025987025,INV-2025-20336,0.0,0.0,completed,
128,imported,,2026-07-12,87180.85,expense,Utilities,Monthly office rent,,,bank_transfer,REF2026855638,INV-2026-89316,4151.47,0.0,pending,
129,imported,,2022-06-06,768124.21,investment,Professional Fees,Equity purchase,,,upi,REF2022748133,INV-2022-93753,0.0,0.0,pending,
130,duplicate_flagged,Same invoice number as an existing transaction,2025-02-01,61032.66,expense,Bank Charges,Software subscription renewal,Apex Office Supplies,,bank_transfer,REF2025265759,INV-2025-67619,0.0,0.0,completed,
131,imported,,2025-05-13,148205.9,expense,Marketing,Courier and freight charges,,,net_banking,REF2025237118,INV-2025-58567,6279.91,0.0,completed,
132,duplicate_flagged,Same invoice number as an existing transaction,2023-05-27,432761.11,income,Other Income,Service contract payment,,,debit_card,REF2023360330,INV-2023-30932,40571.35,0.0,completed,
133,imported,,2021-10-02,283597.22,tax,Other Expense,GST liability payment,,,bank_transfer,REF2021325595,INV-2021-86460,0.0,0.0,completed,
134,imported,,2022-11-07,161238.88,tax,Bank Charges,GST liability payment,Skyline Advertising,,cheque,REF2022862847,INV-2022-57943,0.0,0.0,completed,
135,duplicate_flagged,Same reference number as an existing transaction,2022-11-13,11215.06,expense,Other Expense,Raw material purchase,Horizon Freight,,cash,REF2022393308,INV-2022-91689,0.0,0.0,completed,
136,duplicate_flagged,Same invoice number as an existing transaction,2023-04-19,15123.81,other,Salaries,Sundry payment,,,bank_transfer,REF2023731728,INV-2023-76731,0.0,756.19,completed,
137,imported,,2022-01-12,167343.09,income,Interest Income,Export order payment,,,cheque,REF2022270395,INV-2022-61505,39708.53,0.0,completed,
138,imported,,2023-08-02,87638.58,expense,Office Supplies,Vendor invoice settlement,Skyline Advertising,,net_banking,REF2023787436,INV-2023-85821,0.0,0.0,completed,
139,imported,,2023-05-19,42338.51,salary,Salaries,Staff salary - payroll run,,,upi,REF2023813793,INV-2023-41745,0.0,423.39,pending,
140,imported,,2023-07-20,253400.65,income,Other Income,Export order payment,,,net_banking,REF2023989587,INV-2023-18163,0.0,0.0,completed,
141,imported,,2026-05-13,80062.43,expense,Other Expense,Employee salary disbursement,Skyline Advertising,,upi,REF2026739711,INV-2026-73462,0.0,0.0,completed,
142,imported,,2025-03-14,4224.83,other,Bank Charges,Sundry payment,,,bank_transfer,REF2025432441,INV-2025-72888,0.0,0.0,pending,
143,imported,,2026-04-09,147028.05,expense,Marketing,Software subscription renewal,,,bank_transfer,REF2026943700,INV-2026-29198,0.0,0.0,completed,
144,duplicate_flagged,Same invoice number as an existing transaction,2022-06-13,30469.79,expense,Other Expense,Employee salary disbursement,Horizon Freight,,upi,REF2022829988,INV-2022-45601,0.0,0.0,completed,
145,imported,,2022-07-21,2814.06,refund,Professional Fees,GST input refund,,Walk-in Customer,upi,REF2022446337,INV-2022-71918,0.0,0.0,completed,
146,duplicate_flagged,Same invoice number as an existing transaction,2024-11-23,60237.06,tax,Other Expense,TDS remittance to government,Apex Office Supplies,,cash,REF2024906066,INV-2024-21725,0.0,0.0,completed,
147,imported,,2022-03-25,42079.56,transfer,Utilities,Petty cash transfer,,,cheque,REF2022138105,INV-2022-62034,0.0,0.0,completed,
148,imported,,2021-11-06,464585.15,income,Interest Income,Service contract payment,,,net_banking,REF2021398384,INV-2021-69552,0.0,0.0,completed,
149,imported,,2022-02-27,366904.02,income,Interest Income,Client project milestone payment,,Retail Buyer,cheque,REF2022853504,INV-2022-34405,0.0,0.0,completed,
150,imported,,2023-08-24,77389.04,expense,Rent,Courier and freight charges,Metro Logistics,,net_banking,REF2023293757,INV-2023-28430,19347.26,0.0,pending,
151,imported,,2025-04-20,57501.3,transfer,Travel,Inter-account fund transfer,,,cash,REF2025785436,INV-2025-57127,0.0,0.0,completed,
152,imported,,2026-06-04,448083.59,income,Interest Income,Client project milestone payment,,,debit_card,REF2026823821,INV-2026-25389,42007.84,0.0,completed,
153,imported,,2025-03-08,11029.77,other,Bank Charges,Miscellaneous transaction,,,credit_card,REF2025894139,INV-2025-80453,0.0,0.0,completed,
154,duplicate_flagged,Same invoice number as an existing transaction,2024-03-12,67122.85,expense,Marketing,Software subscription renewal,Delta Security Services,,credit_card,REF2024217659,INV-2024-18094,7191.73,0.0,pending,
155,imported,,2025-04-08,87555.52,expense,Rent,Business travel expense,,,net_banking,REF2025567122,INV-2025-17292,3420.14,0.0,completed,
156,imported,,2025-06-06,32841.62,expense,Rent,Courier and freight charges,Reliable Electricals,,net_banking,REF2025834406,INV-2025-18357,0.0,0.0,completed,
157,imported,,2025-07-17,96300.45,expense,Professional Fees,Software subscription renewal,Fusion IT Services,,bank_transfer,REF2025570325,INV-2025-59479,0.0,0.0,completed,
158,imported,,2021-12-17,14584.38,other,Salaries,Sundry payment,,,cheque,REF2021975373,INV-2021-10455,0.0,1458.44,cancelled,
159,imported,,2022-10-17,98297.82,income,Sales,Export order payment,,Walk-in Customer,upi,REF2022133782,INV-2022-96533,0.0,0.0,completed,
160,imported,,2025-05-26,23183.8,salary,Salaries,Monthly salary payout,,,net_banking,REF2025560285,INV-2025-40715,0.0,0.0,completed,
161,imported,,2025-05-08,86501.33,expense,Marketing,Repair and maintenance work,CloudNet Hosting,,upi,REF2025792282,INV-2025-78321,8109.5,0.0,completed,
162,duplicate_flagged,Same reference number as an existing transaction,2025-01-04,1911.96,adjustment,Other Expense,Accounting adjustment entry,,,bank_transfer,REF2025434217,INV-2025-64568,0.0,0.0,completed,
163,imported,,2022-12-07,128659.68,expense,Utilities,Business travel expense,,,bank_transfer,REF2022160423,INV-2022-83713,32164.92,0.0,completed,
164,imported,,2025-12-30,55787.41,expense,Other Expense,Electricity bill payment,,,bank_transfer,REF2025299734,INV-2025-16755,0.0,0.0,completed,
165,imported,,2024-05-19,220931.44,investment,Salaries,Equity purchase,,,wallet,REF2024449138,INV-2024-49739,0.0,0.0,completed,
166,imported,,2022-08-10,13942.96,other,Salaries,Sundry payment,,,net_banking,REF2022515898,INV-2022-41369,0.0,697.15,completed,
167,imported,,2021-10-19,120461.93,expense,Bank Charges,Employee salary disbursement,,,bank_transfer,REF2021435788,INV-2021-36624,0.0,0.0,completed,
168,duplicate_flagged,Same invoice number as an existing transaction,2024-07-10,291675.75,income,Other Income,Export order payment,,Walk-in Customer,bank_transfer,REF2024409531,INV-2024-29976,44492.91,0.0,completed,
169,imported,,2022-03-11,109969.28,expense,Marketing,Monthly office rent,Horizon Freight,,debit_card,REF2022612036,INV-2022-34123,0.0,0.0,completed,
170,imported,,2025-11-01,200630.56,tax,Bank Charges,GST liability payment,Prime Stationery,,upi,REF2025171269,INV-2025-29795,0.0,0.0,completed,
171,imported,,2026-05-14,72583.98,expense,Bank Charges,Business travel expense,Horizon Freight,,upi,REF2026678440,INV-2026-63914,0.0,0.0,completed,
172,imported,,2025-02-28,101170.14,expense,Utilities,Raw material purchase,Metro Logistics,,upi,REF2025649857,INV-2025-29516,15432.73,0.0,completed,
173,imported,,2022-08-12,99028.19,transfer,Salaries,Inter-account fund transfer,,,credit_card,REF2022414546,INV-2022-99658,0.0,0.0,completed,
174,duplicate_flagged,Same invoice number as an existing transaction,2021-07-24,95584.86,expense,Utilities,Employee salary disbursement,Fusion IT Services,,net_banking,REF2021776234,INV-2021-53420,4267.18,0.0,completed,
175,imported,,2022-10-08,23613.96,salary,Salaries,Monthly salary payout,,,debit_card,REF2022177959,INV-2022-99709,0.0,0.0,pending,
176,imported,,2022-05-30,176317.31,tax,Other Expense,GST liability payment,,,net_banking,REF2022413814,INV-2022-31292,0.0,0.0,completed,
177,imported,,2025-05-24,21164.6,expense,Rent,Monthly office rent,Reliable Electricals,,bank_transfer,REF2025156304,INV-2025-22803,5022.11,0.0,completed,
178,duplicate_flagged,Same invoice number as an existing transaction,2022-07-12,359032.14,investment,Professional Fees,Mutual fund investment,,,cash,REF2022552825,INV-2022-34345,0.0,17951.61,completed,
179,imported,,2025-03-28,393025.69,income,Service Revenue,Client project milestone payment,,Walk-in Customer,upi,REF2025875584,INV-2025-61068,67375.83,0.0,pending,
180,imported,,2024-02-14,61325.02,expense,Office Supplies,Raw material purchase,Horizon Freight,,net_banking,REF2024197584,INV-2024-88240,8623.83,0.0,completed,
181,imported,,2022-08-11,120812.68,salary,Salaries,Monthly salary payout,,,bank_transfer,REF2022277820,INV-2022-99825,0.0,12081.27,completed,
